filename,DensityFeatures__vpa,DensityFeatures__packing fraction,GlobalSymmetryFeatures__spacegroup_num,GlobalSymmetryFeatures__n_symmetry_ops,ChemicalOrdering__mean ordering parameter shell 1,ChemicalOrdering__mean ordering parameter shell 3,MaximumPackingEfficiency__max packing efficiency,StructuralComplexity__structural complexity per atom,StructuralComplexity__structural complexity per cell,AtomicOrbitals__HOMO_energy,AtomicOrbitals__LUMO_energy,AtomicPackingEfficiency__mean simul. packing efficiency,AtomicPackingEfficiency__mean abs simul. packing efficiency,AtomicPackingEfficiency__dist from 1 clusters |APE| < 0.010,CohesiveEnergy__cohesive energy,ElectronegativityDiff__std_dev EN difference,ElementProperty_magpie__MagpieData mode MendeleevNumber,ElementProperty_magpie__MagpieData minimum AtomicWeight,ElementProperty_magpie__MagpieData maximum Row,ElementProperty_magpie__MagpieData mean Electronegativity,ElementProperty_magpie__MagpieData mean NsValence,ElementProperty_magpie__MagpieData avg_dev NsValence,ElementProperty_magpie__MagpieData avg_dev NpValence,ElementProperty_magpie__MagpieData maximum NdValence,ElementProperty_magpie__MagpieData avg_dev NdValence,ElementProperty_magpie__MagpieData mode NdValence,ElementProperty_magpie__MagpieData mean NfValence,ElementProperty_magpie__MagpieData avg_dev NfValence,ElementProperty_magpie__MagpieData avg_dev NValence,ElementProperty_magpie__MagpieData range NpUnfilled,ElementProperty_magpie__MagpieData avg_dev NpUnfilled,ElementProperty_magpie__MagpieData mode NpUnfilled,ElementProperty_magpie__MagpieData maximum NdUnfilled,ElementProperty_magpie__MagpieData minimum NUnfilled,ElementProperty_magpie__MagpieData avg_dev NUnfilled,ElementProperty_magpie__MagpieData mode NUnfilled,ElementProperty_magpie__MagpieData minimum GSvolume_pa,ElementProperty_magpie__MagpieData mode GSvolume_pa,ElementProperty_magpie__MagpieData avg_dev GSbandgap,ElementProperty_magpie__MagpieData mode GSbandgap,ElementProperty_magpie__MagpieData minimum SpaceGroupNumber,ElementProperty_magpie__MagpieData maximum SpaceGroupNumber,ElementProperty_magpie__MagpieData mode SpaceGroupNumber,ElementProperty_matminer__PymatgenData maximum block,ElementProperty_matminer__PymatgenData std_dev electrical_resistivity,ElementProperty_matminer__PymatgenData minimum velocity_of_sound,ElementProperty_matminer__PymatgenData maximum velocity_of_sound,ElementProperty_matminer__PymatgenData mean thermal_conductivity,ElementProperty_matminer__PymatgenData std_dev thermal_conductivity,ElementProperty_matminer__PymatgenData minimum bulk_modulus,ElementProperty_matminer__PymatgenData range bulk_modulus,ElementProperty_matminer__PymatgenData minimum coefficient_of_linear_thermal_expansion,ElementProperty_matminer__PymatgenData range coefficient_of_linear_thermal_expansion,ElementProperty_mp_transport__TransportData maximum sigma_n,ElementProperty_mp_transport__TransportData mode S_p,ElementProperty_mp_transport__TransportData maximum S_n,ElementProperty_mp_transport__TransportData maximum PF_n,ElementProperty_mp_transport__TransportData maximum m_p,ElementProperty_mp_transport__TransportData minimum m_n,ElementProperty_mp_transport__TransportData mode m_n,Miedema__Miedema_deltaH_ss_min,OxidationStates_deml__minimum oxidation state,OxidationStates_deml__maximum oxidation state,WenAlloys__Radii local mismatch,WenAlloys__Total weight,WenAlloys__Lambda entropy,WenAlloys__Electronegativity local mismatch,WenAlloys__Mixing enthalpy,WenAlloys__Interant electrons,WenAlloys__Interant s electrons,WenAlloys__Interant d electrons,WenAlloys__Shear modulus mean
Ag,17.28523119,0.992597929,225,192,0.0,0.0,0.74048049,0.0,0.0,-0.157407,-0.157407,0.023994,0.023994,1.0,2.95,0.0,65,107.8682,5,1.93,1.0,0.0,0.0,10,0.0,10,0.0,0.0,0.0,0,0.0,0,0,1,0.0,1,16.33,16.33,0.0,0.0,225,225,225,3,0.0,2600.0,2600.0,430.0,0.0,100.0,0.0,1.89e-05,0.0,200974.7217,34.00272875,42.78526199,17.10095134,0.000140408,0.00014037,0.00014037,0.0,0.0,0.0,0.0,431.4728,0.0,0.0,1e-06,1,1,0,28.65
Ag2S,20.54908897,0.624575289,14,4,0.454465697,0.033964956,0.393269204,1.584962501,19.01955001,-0.261676,-0.157407,-0.010553536,0.010553536,0.277296777,3.035040533,0.0,65,32.065,5,2.146666667,1.333333333,0.444444444,1.777777778,10,4.444444444,10,0.0,0.0,2.222222222,2,0.888888889,0,0,1,0.444444444,1,16.33,16.33,0.978666667,0.0,70,225,225,3,1414210000000000.0,2600.0,3505.7375,286.735,303.910959,7.7,92.3,1.63e-05,2.62e-06,200974.7217,34.00272875,42.78526199,17.10095134,0.000140408,-0.000414428,0.00014037,-0.021402835,-2.0,1.0,9.111111111,991.2056,-0.24064337,0.06608828,12.62540166,5,1,0,36.76219178
Ag2Se,20.10654804,0.674493297,19,4,0.441771903,0.030547872,0.488289384,1.584962501,19.01955001,-0.245806,-0.157407,0.005850317,0.015088016,0.094280904,3.006581319,0.0,65,78.96,5,2.136666667,1.333333333,0.444444444,1.777777778,10,0.0,10,0.0,0.0,2.222222222,2,0.888888889,0,0,1,0.444444444,1,16.33,16.33,0.355111111,0.0,14,225,225,3,17247200000000.0,2600.0,3350.0,286.84,303.6882204,8.3,91.7,1.63e-05,2.62e-06,200974.7217,34.00272875,42.78526199,17.10095134,0.000140408,-0.000401584,0.00014037,-0.021402835,-2.0,1.0,5.777777778,1178.7856,-0.645198681,0.06608828,12.62540166,5,1,0,36.76219178
Ag2Te,23.04480953,0.662601986,14,4,0.481833886,0.066310588,0.532223632,1.584962501,19.01955001,-0.226594,-0.157407,0.023821865,0.023821865,0.033671751,2.791856538,0.0,65,107.8682,5,1.986666667,1.333333333,0.444444444,1.777777778,10,0.0,10,0.0,0.0,2.222222222,2,0.888888889,0,0,1,0.444444444,1,16.33,16.33,0.206222222,0.0,152,225,225,3,7.07e-05,2600.0,2610.0,287.6666667,301.9345956,65.0,35.0,1.63e-05,2.62e-06,200974.7217,34.00272875,42.78526199,17.10095134,0.000140408,-0.000893918,0.00014037,-0.021402835,-2.0,1.0,0.888888889,1373.3456,-30.29393261,0.06608828,12.62540166,5,1,0,36.76219178
Ag3SbS3,22.75937092,0.482113973,161,18,0.526022742,0.090569802,0.334487958,1.448815636,60.8502567,-0.261676,-0.185623,0.009659942,0.009659942,0.03888079,3.085360761,0.084852814,65,32.065,5,2.225714286,1.571428571,0.489795918,1.836734694,10,4.897959184,0,0.0,0.0,2.93877551,3,1.102040816,0,0,1,0.612244898,1,16.33,16.33,1.078530612,0.0,70,225,70,3,1264910000000000.0,2600.0,3505.7375,187.8021429,268.2486585,7.7,92.3,1.1e-05,7.9e-06,200974.7217,34.00272875,42.78526199,17.95677256,0.001005039,-0.000414428,-0.000414428,-0.264137899,-2.0,3.0,11.3877551,3249.3576,-0.283974288,0.078954431,14.89329979,8,1,0,37.84567515
Ag8SnS6,20.85266258,0.559995855,33,4,0.684042874,0.122304016,0.38018965,3.906890596,234.4134357,-0.261676,-0.261676,0.005934543,0.005934543,0.038640077,3.127630076,0.021213203,65,32.065,5,2.192,1.466666667,0.497777778,1.848888889,10,4.8,10,0.0,0.0,2.56,4,1.137777778,0,0,1,0.64,1,16.33,16.33,1.05696,0.0,70,225,225,3,1319820000000000.0,2500.0,3505.7375,233.882,283.236779,7.7,92.3,1.63e-05,5.72e-06,200974.7217,34.00272875,42.78526199,18.72348504,0.000220362,-0.000414428,0.00014037,-0.119389829,-2.0,4.0,10.52444444,4696.1824,-0.277714902,0.07315312,14.06210046,7,1,0,37.70396347
AgBiS2,22.61747728,0.471893364,166,36,0.932701676,0.778057469,0.516651638,1.5,18.0,-0.261676,-0.180198,0.008982384,0.008982384,0.049232334,2.999416004,0.06363961,88,32.065,6,2.2775,1.75,0.375,1.375,10,5.0,0,3.5,5.25,8.0,3,0.875,2,0,1,0.5,2,16.33,25.786875,1.101,2.202,12,225,70,3,1264910000000000.0,1790.0,3505.7375,109.6025,234.0198727,7.7,92.3,1.34e-05,5.5e-06,200974.7217,688.7617189,42.78526199,20.90051016,0.000276223,-0.000414428,-0.000414428,-0.201077331,-2.0,3.0,13.625,1142.9358,-0.212813228,0.061849315,13.70357686,8,1,0,36.86828767
AgGaS2,22.1219084,0.392570529,33,4,0.739853871,0.294723865,0.314538773,2.0,32.0,-0.261676,-0.261676,-0.01979952,0.02269959,0.0,3.485011174,0.084852814,88,32.065,5,2.225,1.75,0.375,1.75,10,5.0,0,0.0,0.0,3.0,5,1.375,2,0,1,1.25,2,16.33,25.786875,1.101,2.202,64,225,70,3,1264910000000000.0,2600.0,3505.7375,114.8525,230.6310448,7.7,92.3,1.63e-05,0.000103724,200974.7217,688.7617189,42.78526199,20.63066982,0.000173757,-0.000414428,-0.000414428,-0.206743145,-2.0,3.0,9.625,966.8848,-0.376107862,0.058724315,15.45357686,6,1,0,43.02328767
AgInS2-1,24.6413873,0.417320215,33,4,0.755060769,0.318331796,0.329468755,2.0,32.0,-0.261676,-0.261676,0.011549689,0.01984848,0.03928371,3.352108353,0.106066017,88,32.065,5,2.2175,1.75,0.375,1.75,10,5.0,0,0.0,0.0,3.0,5,1.375,2,0,1,1.25,2,16.33,25.786875,1.101,2.202,70,225,70,3,1264910000000000.0,1215.0,3505.7375,128.1025,224.484371,7.7,92.3,1.63e-05,1.58e-05,205785.0644,688.7617189,45.19519666,17.10095134,0.000140408,-0.000414428,-0.000414428,-0.128710998,-2.0,3.0,12.3125,1147.2648,-0.247947016,0.084375,14.70357686,6,1,0,34.58778767
AgInSe2-1,29.26187321,0.388706048,33,4,0.753727026,0.316093774,0.331737024,2.0,32.0,-0.245806,-0.245806,0.00056496,0.013044805,0.036021908,3.248737781,0.106066017,89,78.96,5,2.2025,1.75,0.375,1.75,10,0.0,10,0.0,0.0,2.0,5,1.375,2,0,1,1.25,2,16.33,25.92,0.3995,0.799,14,225,14,3,15426300000000.0,1215.0,3350.0,128.26,224.3408393,8.3,91.7,1.63e-05,1.58e-05,205785.0644,646.9921645,45.19519666,17.10095134,0.000140408,-0.000401584,-0.000401584,-0.128710998,-2.0,3.0,8.5625,1522.4248,-0.587555726,0.084375,14.70357686,6,1,0,34.58778767
