filename,Descriptors__MaxAbsEStateIndex,Descriptors__MinAbsEStateIndex,Descriptors__MinEStateIndex,Descriptors__qed,Descriptors__SPS,Descriptors__MaxPartialCharge,Descriptors__MinPartialCharge,Descriptors__BCUT2D_MWHI,Descriptors__BCUT2D_LOGPLOW,Descriptors__BCUT2D_MRLOW,Descriptors__AvgIpc,Descriptors__BalabanJ,Descriptors__BertzCT,Descriptors__Chi4v,Descriptors__Ipc,Descriptors__Kappa2,Descriptors__PEOE_VSA6,Descriptors__PEOE_VSA7,Descriptors__PEOE_VSA9,Descriptors__SMR_VSA10,Descriptors__SMR_VSA2,Descriptors__SMR_VSA6,Descriptors__SMR_VSA7,Descriptors__SlogP_VSA1,Descriptors__SlogP_VSA12,Descriptors__SlogP_VSA3,Descriptors__SlogP_VSA6,Descriptors__EState_VSA10,Descriptors__EState_VSA8,Descriptors__VSA_EState10,Descriptors__VSA_EState5,Descriptors__VSA_EState6,Descriptors__VSA_EState8,Descriptors__FractionCSP3,Descriptors__NHOHCount,Descriptors__fr_Al_COO,Descriptors__fr_C_O_noCOO,Descriptors3D__Eccentricity,Descriptors3D__InertialShapeFactor,Descriptors3D__NPR2,Descriptors3D__PMI1,Descriptors3D__PMI2,Descriptors3D__SpherocityIndex
(NMe2)3P,7.40724537,0.646018519,-4.154320988,0.572192876,46.8,0.11811927,-0.263521149,31.15013292,-2.254414654,0.489928808,2.13248906,7.297741445,400.3021753,0.804984472,88438.58628,4.242634534,0.0,41.8549614,0.0,8.373766405,0.0,41.8549614,0.0,0.0,8.373766405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.66396605,1.0,0,0,0,0.75984105,0.001552731,0.67932238,437.5015768,457.1612746,0.484697604
(TMS)3Si,9.620949074,4.808063272,-8.203125,0.671249656,56.61538462,0.029964574,-0.072096714,29.90563317,-2.700112473,1.77055735,2.395174442,10.49233109,705.7147654,22.78125,12498748.37,3.789802429,58.27649644,0.0,0.0,30.05593015,1.23482524,0.0,0.0,0.0,0.0,0.0,0.0,1.23482524,0.0,0.0,0.0,0.0,-43.27256944,1.0,0,0,0,0.777747556,0.000531131,0.632498194,1190.852107,1198.281353,0.481798732
ABI,9.035028345,0.932865646,-3.596053005,0.585589288,31.5,0.161519304,-0.195562372,15.17590612,-2.169775305,0.540881982,2.275997052,6.709376474,497.1204682,0.19472136,30298.07276,3.317607749,0.0,27.40756847,12.13844263,0.0,10.52378311,0.0,0.0,0.0,0.0,0.0,10.22850025,0.0,10.22850025,0.0,0.0,1.865731293,-14.38421202,0.75,0,0,0,0.965207405,0.003705717,0.979564849,264.3388241,990.2538504,0.454155664
ACN,7.590277778,1.104166667,-2.402777778,0.38698058,21.66666667,0.058714824,-0.198658426,14.19977254,-1.100101722,1.489653195,1.351644115,3.552734355,75.77443751,0.0,12.16479704,1.49,0.0,0.0,6.069221313,0.0,5.261891555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.104166667,-2.402777778,0.5,0,0,0,0.998307327,0.311360885,0.999949786,3.211545941,55.21723502,0.427155013
AMIP,7.125,0.610208333,-3.302083333,0.433755293,53.4,0.21049732,-0.392103242,16.26551838,-2.139461171,0.203211311,1.996382438,5.251523331,200.7239726,0.0,487.1173148,2.175102041,0.0,6.851892117,7.450776583,0.0,1.431199657,6.496859684,0.0,5.719716976,0.0,0.0,0.0,0.0,5.108808191,0.0,0.0,0.0,-6.529166667,1.0,3,0,0,0.945418377,0.013004926,0.774347606,59.5426404,141.4927935,0.377347887
AMNP,7.052083333,0.607291667,-3.328125,0.456859378,43.8,0.210037642,-0.396326245,16.2499778,-1.993326839,0.290828956,2.029485343,5.135290713,202.2337476,0.022821773,509.4008212,3.92,0.0,12.86978459,2.741517112,0.0,1.431199657,13.05584493,0.0,5.719716976,0.0,0.0,0.0,0.0,5.108808191,0.0,0.0,0.0,-6.491666667,1.0,3,0,0,0.995515419,0.037130632,0.945674033,25.46883737,254.6021691,0.244773608
BA,7.418449074,0.611545729,-2.742592593,0.572343612,25.0,0.210528197,-0.391680468,16.2502435,-1.772683675,0.281609266,2.233492345,3.645794911,399.880382,0.301031036,2345.166962,2.478228729,30.21209354,5.563451492,16.15429514,0.0,1.431199657,0.0,35.77554503,0.0,0.0,6.558985243,30.21209354,0.0,5.108808191,0.0,0.0,-3.333443878,-2.742592593,0.142857143,1,0,0,0.970110431,0.007551155,0.796014302,105.4162361,345.7986259,0.135965036
BBA,7.439236111,3.114583333,-4.528541667,0.350838002,57.33333333,0.290288224,-0.539610785,14.82854357,-2.919104104,-0.583685296,1.893369964,6.831670016,317.2919931,0.0,3241.449378,1.649542775,0.0,20.55567635,0.0,7.871423268,4.007138173,0.0,0.0,5.213851113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.69895833,1.0,2,0,0,0.817385035,0.008399893,0.999549661,118.9955294,206.463538,0.736737371
BEA,11.84897055,2.600713129,-5.445322721,0.228667717,50.5,0.302839557,-0.48123039,16.36513753,-1.929486406,-0.136654093,3.115204088,8.074232946,1856.820339,0.613531036,1641880000000.0,20.51450378,121.5645403,6.372924901,0.0,5.969305288,1.431199657,0.0,0.0,0.0,0.0,4.794537184,0.0,4.794537184,5.108808191,0.0,-2.600713129,0.0,-4.213721171,0.954545455,1,1,0,0.99997564,0.005422984,0.995568885,183.5832232,26184.8773,0.019934556
BLAM,7.192708333,0.683958333,-3.546875,0.512414872,52.6,0.118379133,-0.330473681,14.50764735,-1.951294731,0.807009501,2.003681941,5.529367319,251.2004023,0.02795085,939.7268305,3.96,13.22481702,12.86978459,0.0,0.0,0.0,6.496859684,0.0,5.719716976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.800833333,1.0,2,0,0,0.994695578,0.033717444,0.948056637,28.11768987,259.1531908,0.241312523
BMIM-Tf2N,11.43842593,0.019689153,-6.721527778,0.55146407,26.6,0.518577958,-0.756650956,32.27491435,-2.276944214,-0.670569932,2.866244001,8.68e-07,1340.671594,2.310083479,21005016.93,8.353431956,13.22481702,6.372924901,20.32647937,20.03317706,0.0,0.0,18.64916214,4.567099648,0.0,33.50586365,22.41716769,43.52193564,0.0,0.0,0.0,0.0,-10.40515767,0.7,0,0,0,0.950929716,0.000547277,0.860698015,1572.69296,4374.864904,0.23831069
BPCA,11.51884983,0.505749244,-1.39850823,0.804746851,18.93333333,0.335178964,-0.477639247,16.36553773,-1.942920007,0.069668127,2.588666047,2.996728896,850.6485607,0.914562073,223143.0132,3.964406732,42.29693095,23.2117404,17.9002785,5.969305288,1.431199657,0.0,59.94521986,0.0,0.0,0.0,54.38176837,4.794537184,5.108808191,0.0,-1.39850823,-6.654036777,0.0,0.0,1,0,0,0.995027845,0.004108869,0.900616791,219.1885015,1982.033474,0.000353421
BuMgCl,7.294236111,2.059467593,-3.272430556,0.0,52.0,0.0,0.0,0.0,0.0,0.0,2.011967158,5.379464013,2242.923375,0.433251419,657.9132607,6.056233766,0.0,0.0,0.0,19.26376974,0.0,0.0,4.502187346,9.071670114,0.0,0.0,0.0,0.0,0.0,-2.059467593,0.0,0.0,-3.23183642,1.0,0,0,0,0.987727821,0.007396053,0.871896438,117.8867173,658.0978504,0.262788725
CFA,11.28705247,2.070216049,-4.067708333,0.535788332,12.71428571,0.417294885,-0.475794495,35.49589462,-2.191122678,-0.153363699,1.620335266,3.823378455,100.7016577,0.0,35.64737585,1.614379875,0.0,11.60093989,0.0,17.57024518,1.431199657,0.0,0.0,0.0,11.60093989,4.794537184,0.0,13.57536728,16.70974808,4.05587963,-2.070216049,0.0,0.0,0.5,1,1,0,0.792215798,0.005197676,0.940127584,180.8746056,278.6525227,0.433363996
CH2Cl2,6.135030864,2.055555556,-2.055555556,0.389962107,20.66666667,0.09670639,-0.10913233,35.53900508,-1.23967531,2.204917085,0.721928095,3.023715784,23.11941548,0.0,3.609640474,2.58,0.0,0.0,8.032805658,23.20187978,0.0,5.291288545,0.0,0.0,23.20187978,0.0,0.0,0.0,23.20187978,9.257716049,0.0,0.0,0.0,1.0,0,0,0,0.995807936,0.05909361,0.927793578,15.70040434,159.253452,0.568756341
CITA,11.52635488,2.220550359,-4.015856481,0.427421351,20.92307692,0.336419491,-0.481138775,16.4174902,-2.42209814,-0.169897741,2.447648787,6.466174563,408.831654,0.420769551,17601.04242,3.853986625,0.0,0.0,12.7458498,17.90791586,5.724798629,0.0,0.0,0.0,0.0,14.38361155,0.0,14.38361155,20.43523276,0.0,-6.743600718,0.0,0.0,0.5,4,3,0,0.857973555,0.001369114,0.730001664,533.1926836,757.7111179,0.429509474
