Z_product,Z_joint,Z_ops,T_inj,T_rea,t,alpha_inorg,beta_inorg,alpha_org,beta_org,Size
-2.745534,1.5497216,1.0456803,120.0,120.0,0.5,0.8237609,0.17623903,0.6823632,0.31763682,32.78
-0.07247263,-1.1032481,1.441218,30.0,30.0,0.25,0.85849565,0.14150438,0.66539073,0.3346093,4.2000003
-3.7098951,-0.27124557,-1.3501378,180.0,180.0,60.0,0.8174826,0.18251744,0.639891,0.36010894,39.11
-0.19925074,-0.31426564,0.033473663,180.0,180.0,0.5,0.79702383,0.20297618,0.6935622,0.3064378,10.39
1.1577964,-1.0215834,-1.3748122,180.0,190.0,60.0,0.81474495,0.18525511,0.6450661,0.3549339,6.39
-1.704436,-1.6145843,1.436659,25.0,25.0,1.0,0.8604497,0.13955031,0.66374177,0.33625823,9.93
-0.93548656,-1.1719595,-1.1752744,160.0,200.0,210.0,0.86011297,0.13988696,0.509424,0.490576,14.5
-0.5411444,-1.6553744,0.8867338,50.0,185.0,0.0167,0.8172727,0.18272726,0.73300135,0.26699868,6.2900004
-0.17423266,0.099176966,-1.4368433,350.0,350.0,0.333,0.7055228,0.29447722,0.7241872,0.27581275,19.41
0.9524719,-1.6893808,-1.0927854,25.0,190.0,60.0,0.8386894,0.16131066,0.6925046,0.3074954,7.9700003
1.1545055,-0.46071056,-1.6062498,200.0,200.0,90.0,0.8187126,0.18128735,0.6154543,0.38454562,14.17
-0.20496796,-1.0855683,0.9499196,140.0,140.0,3.0,0.81600124,0.18399876,0.68392724,0.31607276,7.1400003
-0.20496796,-0.21083915,1.1912065,100.0,100.0,10.0,0.83495086,0.16504908,0.6700994,0.32990068,10.88
0.5875617,-0.75299877,-0.6349087,25.0,180.0,180.0,0.873486,0.12651403,0.57478213,0.4252179,10.1
0.51824915,-1.7672757,-0.1962811,25.0,120.0,60.0,0.8552279,0.14477213,0.6579441,0.34205592,1.9000003
-1.7090745,-0.5326956,1.0493019,120.0,120.0,0.0167,0.8236057,0.17639427,0.68278897,0.31721103,11.4
-4.42991,-2.104028,0.23851937,105.0,160.0,30.0,0.8249868,0.17501312,0.68039197,0.31960803,9.05
0.301921,-2.1629617,-1.474464,280.0,280.0,30.0,0.7581625,0.24183752,0.6865049,0.3134951,5.7000003
3.3381593,-1.5346448,-1.1676538,25.0,300.0,30.0,0.7992306,0.20076942,0.76524746,0.23475257,2.8600004
0.14382733,-0.95871645,-1.8943212,300.0,300.0,60.0,0.7596748,0.24032517,0.6635683,0.3364317,13.7
-6.368494,-0.5923387,-0.70716405,240.0,240.0,2.0,0.7679675,0.23203248,0.7032661,0.2967339,36.68
0.12961115,-0.42764837,-1.6635048,25.0,220.0,120.0,0.8489609,0.1510391,0.6537302,0.3462698,13.0
-2.0236852,-1.4361572,0.58557284,170.0,170.0,0.125,0.8015495,0.19845049,0.6920361,0.30796394,11.55
1.1545055,-0.48402897,0.41992128,160.0,160.0,10.0,0.8095188,0.19048113,0.6815289,0.31847107,4.4100003
0.64739835,0.8070778,-0.5540761,230.0,230.0,3.0,0.7734898,0.22651027,0.7005961,0.2994039,11.9
-0.7866019,-0.47379777,-0.049044244,180.0,190.0,0.0167,0.7938818,0.20611826,0.6987434,0.3012566,13.77
0.64739835,-1.4825048,0.5179256,180.0,160.0,2.0,0.80338687,0.19661312,0.6825829,0.31741714,6.5
-5.910591,-0.32565352,0.02641657,25.0,160.0,30.0,0.83711123,0.16288877,0.70396465,0.29603538,28.1
-1.6142938,-1.6309097,0.7917885,151.0,151.0,0.017,0.8101439,0.18985616,0.6885981,0.31140196,6.54
-0.5411444,-1.6493158,-0.9291584,50.0,185.0,240.0,0.88377935,0.11622066,0.50852424,0.49147576,8.54
-4.418028,-0.3024103,0.037347466,180.0,180.0,0.333,0.7969641,0.20303595,0.6937065,0.3062935,30.12
-1.9083992,-0.48224798,-0.4889673,230.0,230.0,0.167,0.7723901,0.22760984,0.70300686,0.2969932,29.33
0.71945286,-0.8946294,-1.1569431,90.0,220.0,60.0,0.82106715,0.17893286,0.68772835,0.31227162,11.96
-1.4500655,-0.5674971,-0.84769416,180.0,180.0,20.0,0.80391127,0.19608878,0.67645687,0.32354307,18.18
-1.704436,-1.5044347,0.813941,150.0,150.0,0.0167,0.81059,0.18940997,0.68841183,0.31158817,8.58
-2.3825579,-1.3175461,-0.7509624,25.0,290.0,5.0,0.7932201,0.2067799,0.77916217,0.22083783,10.91
1.1545055,-0.4978148,0.93464243,140.0,140.0,5.0,0.81666446,0.18333557,0.68216664,0.31783336,5.5600004
-1.1697581,-0.7418969,-1.2332882,275.0,275.0,5.0,0.750609,0.249391,0.70705736,0.29294258,16.9
-2.724994,-1.9899489,-0.7076906,25.0,250.0,30.0,0.8134682,0.18653172,0.7444101,0.2555899,12.09
-0.93548656,-1.1740521,-1.0623022,160.0,190.0,210.0,0.8622936,0.13770643,0.5037925,0.49620745,13.1
2.084927,-0.87821,-0.84769416,180.0,180.0,20.0,0.80391127,0.19608878,0.67645687,0.32354307,7.31
-0.14797877,-0.8326672,-0.9573493,170.0,170.0,60.0,0.8217757,0.17822431,0.6378849,0.36211506,7.9500003
-0.93548656,-1.8259846,-1.3411866,25.0,230.0,60.0,0.8285717,0.17142835,0.71135503,0.28864497,9.0
0.740818,-1.9125081,-1.3286674,220.0,220.0,60.0,0.799508,0.20049204,0.6478662,0.35213375,5.08
1.976955,-0.082651846,0.2415279,105.0,105.0,180.0,0.8789555,0.12104453,0.50543475,0.49456525,8.84
-1.6984288,-0.29756835,-1.2353144,160.0,300.0,10.0,0.7670074,0.2329926,0.7457789,0.25422102,13.64
-5.112322,0.6554985,1.3089899,80.0,80.0,0.5,0.8399964,0.1600036,0.6747771,0.3252229,31.82
-1.6142938,-1.6323947,0.6929493,160.0,160.0,0.017,0.8060912,0.19390884,0.6902737,0.30972633,7.56
-2.3938437,-0.5070538,-0.8021784,25.0,260.0,30.0,0.8106843,0.18931568,0.7486731,0.25132695,10.95
1.4909868,-1.605225,-1.3739561,295.0,275.0,35.0,0.75889194,0.24110809,0.6751305,0.3248695,4.6800003
-1.2573694,-0.5931369,-1.374115,295.0,295.0,5.0,0.739579,0.26042098,0.7106465,0.2893535,21.0
-1.3852432,-0.93630016,0.566437,170.0,170.0,1.0,0.8018572,0.19814287,0.6912773,0.3087227,8.58
1.1545055,-0.4787843,-1.1549037,180.0,180.0,40.0,0.8107902,0.18920985,0.6584094,0.34159058,14.38
0.59674144,-1.4629998,-1.5620062,25.0,200.0,90.0,0.8450918,0.15490815,0.6709314,0.32906857,6.2000003
3.6051545,-0.7773264,-0.80327606,230.0,230.0,20.0,0.780009,0.21999103,0.68589854,0.31410143,3.2
-1.0048336,-1.6777948,-0.6765324,240.0,240.0,0.5,0.7673758,0.23262414,0.70453733,0.29546267,8.58
-1.0561737,-0.92269903,-1.1250154,25.0,250.0,45.0,0.81844974,0.18155031,0.73263365,0.26736635,16.4
-2.6857946,-0.6322434,-0.70716405,240.0,240.0,2.0,0.7679675,0.23203248,0.7032661,0.2967339,25.289999
-0.62826645,0.12841685,-1.254606,300.0,270.0,180.0,0.8132114,0.18678863,0.5308885,0.46911153,9.0
1.1545055,-0.5899143,0.41992128,160.0,160.0,10.0,0.8095188,0.19048113,0.6815289,0.31847107,7.09
0.71945286,-0.23001367,0.018975645,120.0,120.0,60.0,0.8420588,0.15794118,0.62778324,0.37221676,13.6
-3.4874158,-0.5145845,-0.3244033,180.0,180.0,10.0,0.8004015,0.19959849,0.6852916,0.31470844,28.81
-3.562356,-0.4708133,0.9990515,130.0,130.0,0.75,0.8195869,0.18041307,0.6840252,0.31597477,15.2
